Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
420,East North Central,WI,Sauk,51310,12.9,18131,20978,402639,281
421,East North Central,WI,Sawyer,15664,12.9,14521,3375,116735,183
422,East North Central,WI,Shawano,38442,9.4,14170,8732,179472,229
423,East North Central,WI,Sheboygan,108326,13.8,20264,47040,737919,290
424,East North Central,WI,St. Croix,54851,20.3,20739,14838,344413,352
425,East North Central,WI,Taylor,19234,9.2,14301,6252,102105,220
426,East North Central,WI,Trempealeau,25835,10.1,15787,8096,109642,202
427,East North Central,WI,Vernon,27116,11.2,13428,5260,109595,196
428,East North Central,WI,Vilas,20416,13.7,16150,5594,156432,222
429,East North Central,WI,Walworth,82045,17.5,18587,28752,519298,342
430,East North Central,WI,Washburn,14982,12.8,14207,3595,122684,219
431,East North Central,WI,Washington,109632,15.9,21426,36284,734260,390
432,East North Central,WI,Waukesha,337954,27.1,26126,173644,3141574,480
433,East North Central,WI,Waupaca,49156,11,17766,15393,317964,250
434,East North Central,WI,Waushara,21018,10,15150,3249,98156,221
435,East North Central,WI,Winnebago,149391,18.2,20329,77546,1282630,318
436,East North Central,WI,Wood,76196,13.5,19876,34897,772501,272
437,East South Central,AL,Autauga,39381,14.5,16241,7402,232748,257
438,East South Central,AL,Baldwin,120198,16.8,17571,28515,842030,265
439,East South Central,AL,Barbour,26469,11.8,16000,7190,148838,146
440,East South Central,AL,Bibb,17942,4.7,13481,3626,58088,140
441,East South Central,AL,Blount,42721,7,15403,7233,155305,164
442,East South Central,AL,Bullock,11149,10,11236,2308,28147,102
443,East South Central,AL,Butler,21798,8,12743,4963,121182,133
444,East South Central,AL,Calhoun,117263,14.2,15679,36361,816302,218
445,East South Central,AL,Chambers,37262,8.9,14640,11869,209103,154
446,East South Central,AL,Cherokee,21038,6.7,13978,3318,88887,148
447,East South Central,AL,Chilton,34912,7.5,14654,5675,177201,157
448,East South Central,AL,Choctaw,16079,8.5,13893,4765,56938,99
449,East South Central,AL,Clarke,27993,10.8,14325,7295,173498,147
450,East South Central,AL,Clay,13551,7.3,15370,4189,45529,116
451,East South Central,AL,Cleburne,13272,6.5,15089,2018,49659,147
452,East South Central,AL,Coffee,42359,16.5,17991,13097,338412,234
453,East South Central,AL,Colbert,52586,11.5,16244,18466,397307,191
454,East South Central,AL,Conecuh,14022,6.4,13644,3413,40715,110
455,East South Central,AL,Coosa,11680,6.3,12964,1619,13201,137
456,East South Central,AL,Covington,37459,9.1,14392,11365,245933,147
457,East South Central,AL,Crenshaw,13624,8.4,14297,3143,42944,118
458,East South Central,AL,Cullman,72489,7.8,16192,18892,479866,184
459,East South Central,AL,Dale,50001,13.5,14776,10930,185573,238
460,East South Central,AL,Dallas,48022,12.2,14013,14607,282488,151
461,East South Central,AL,De Kalb,57271,7.1,15163,18466,284735,161
462,East South Central,AL,Elmore,57071,12.8,15209,7854,237773,197
463,East South Central,AL,Escambia,36541,7.6,13763,10401,224288,153
464,East South Central,AL,Etowah,100259,10.2,15993,31241,647620,186
465,East South Central,AL,Fayette,18019,8.5,14124,4870,82749,132
466,East South Central,AL,Franklin,29313,6.9,15664,9012,163099,146
467,East South Central,AL,Geneva,24727,6.8,16090,5385,108274,130
468,East South Central,AL,Greene,10076,10.4,11422,1491,33492,99
469,East South Central,AL,Hale,16212,8.9,12334,2615,46930,99
470,East South Central,AL,Henry,15752,8.2,14069,3788,55019,134
471,East South Central,AL,Houston,84367,15,17718,41033,850425,215
472,East South Central,AL,Jackson,50128,8,16175,12945,271611,169
473,East South Central,AL,Jefferson,657827,19.9,20861,337279,6036037,263
474,East South Central,AL,Lamar,15754,6.2,14356,5177,60431,110
475,East South Central,AL,Lauderdale,83598,16.4,16505,26367,654057,217
476,East South Central,AL,Lawrence,32803,6.2,14141,4901,98328,143
477,East South Central,AL,Lee,94029,25.3,14786,26792,628036,266
478,East South Central,AL,Limestone,59344,13.8,16359,14976,308254,214
479,East South Central,AL,Lowndes,12946,8.2,11239,1520,32919,99
480,East South Central,AL,Macon,23959,18,11732,5060,56261,186
481,East South Central,AL,Madison,258340,30.1,21455,113071,2068818,332
482,East South Central,AL,Marengo,23662,11.5,14119,6274,124363,117
483,East South Central,AL,Marion,30382,6.7,13894,9476,147830,132
484,East South Central,AL,Marshall,78195,11.5,16382,30630,846937,200
485,East South Central,AL,Mobile,397413,15.5,16191,147179,2854557,233
486,East South Central,AL,Monroe,24550,10.8,14290,8501,130206,169
487,East South Central,AL,Montgomery,218880,24.2,20014,92931,1919456,292
488,East South Central,AL,Morgan,107034,15.5,18736,38048,841367,261
489,East South Central,AL,Perry,12708,11.5,11157,2461,31477,99
490,East South Central,AL,Pickens,20956,6.6,13264,3474,70075,99
491,East South Central,AL,Pike,28848,14.3,14923,8850,178746,177
492,East South Central,AL,Randolph,20323,7.7,14197,4477,84870,133
493,East South Central,AL,Russell,51436,8.2,14059,10239,217755,195
494,East South Central,AL,Shelby,123500,29,20999,28767,518383,379
495,East South Central,AL,St. Clair,57713,8.5,14740,8507,191723,199
496,East South Central,AL,Sumter,16390,11.1,12120,3472,57857,115
497,East South Central,AL,Talladega,76737,10.2,13822,18924,405195,163
498,East South Central,AL,Tallapoosa,39737,11.5,16433,19022,210818,160
499,East South Central,AL,Tuscaloosa,158732,20,16659,54967,1133680,254
500,East South Central,AL,Walker,69678,7.2,16189,15005,496706,175
501,East South Central,AL,Washington,17385,6.7,14647,3480,54361,112
502,East South Central,AL,Wilcox,13628,10.3,10759,2639,44274,99
503,East South Central,AL,Winston,23489,5.4,14988,9467,105730,140
504,East South Central,KY,Adair,16292,7.4,13212,3282,64674,162
505,East South Central,KY,Allen,15706,4.6,12611,4570,62484,144
506,East South Central,KY,Anderson,17152,9.9,16320,2824,73361,244
507,East South Central,KY,Ballard,8232,8.7,17450,1727,41872,136
508,East South Central,KY,Barren,35768,8.3,15969,12193,274384,188
509,East South Central,KY,Bath,10159,6.2,12360,1308,34214,125
510,East South Central,KY,Bell,30490,9.3,12478,7589,214827,163
511,East South Central,KY,Boone,70097,15.3,18884,34792,972287,356
512,East South Central,KY,Bourbon,19257,11.8,16663,4452,113798,241
513,East South Central,KY,Boyd,50613,11.9,18661,25145,543668,221
514,East South Central,KY,Boyle,26699,14.4,16149,12790,230327,245
515,East South Central,KY,Bracken,8209,6.5,13241,779,16518,135
516,East South Central,KY,Breathitt,15539,8.6,12972,2901,88010,143
517,East South Central,KY,Breckinridge,16722,6.3,12945,1988,68467,164
518,East South Central,KY,Bullitt,56127,6.3,14520,7339,159284,249
519,East South Central,KY,Butler,11634,5.1,11801,2716,31823,151
520,East South Central,KY,Caldwell,13207,8.2,14627,3331,100785,155
521,East South Central,KY,Calloway,32506,19.4,16501,10070,276094,204
522,East South Central,KY,Campbell,87111,14.9,17359,18993,455174,298
523,East South Central,KY,Carlisle,5443,6.6,17137,536,18002,117
524,East South Central,KY,Carroll,9668,10.7,15737,4050,81848,194
525,East South Central,KY,Carter,26172,7.6,12229,3720,138776,183
526,East South Central,KY,Casey,14508,6.5,11774,2681,47304,127
527,East South Central,KY,Christian,65666,10.4,13655,17947,381831,253
528,East South Central,KY,Clark,30822,13,16687,8770,219093,264
529,East South Central,KY,Clay,22835,7.4,11161,2847,99806,139
530,East South Central,KY,Clinton,9309,6.6,11377,1911,42063,122
531,East South Central,KY,Crittenden,9470,5.1,13070,1883,28024,144
532,East South Central,KY,Cumberland,6957,6.1,11509,1194,33501,122
533,East South Central,KY,Daviess,90662,14.1,17193,35380,693425,230
534,East South Central,KY,Edmonson,10758,5.4,11248,662,19351,142
535,East South Central,KY,Elliott,6543,5.6,9307,226,12534,116
536,East South Central,KY,Estill,15646,5.4,11399,1774,46621,158
537,East South Central,KY,Fayette,238885,30.6,21372,127905,2494876,338
538,East South Central,KY,Fleming,13054,8.7,13227,2379,65936,140
539,East South Central,KY,Floyd,44100,7.4,13294,8739,238778,198
540,East South Central,KY,Franklin,46136,21.3,19104,13652,335983,285
541,East South Central,KY,Fulton,7317,10.3,16898,2548,57771,159
542,East South Central,KY,Gallatin,6175,5,13453,662,14495,168
543,East South Central,KY,Garrard,12994,6.3,14119,1776,32802,180
544,East South Central,KY,Grant,18763,7.2,14286,3258,124695,217
545,East South Central,KY,Graves,35139,8.8,15830,9637,238665,166
546,East South Central,KY,Grayson,22744,6.1,12379,5619,112845,172
547,East South Central,KY,Green,10416,6.8,13124,1807,31270,135
548,East South Central,KY,Greenup,36992,11.1,15269,4364,115696,228
549,East South Central,KY,Hancock,8483,6.9,18086,3009,19308,188
550,East South Central,KY,Hardin,90345,12.9,14950,26209,714375,289
551,East South Central,KY,Harlan,36237,6.4,12382,6838,166771,161
552,East South Central,KY,Harrison,16978,8.6,15801,4167,87620,198
553,East South Central,KY,Hart,16209,5.2,12359,2542,61708,142
554,East South Central,KY,Henderson,44431,11.1,17461,15868,336898,254
555,East South Central,KY,Henry,14208,8.2,15494,2030,63567,167
556,East South Central,KY,Hickman,5346,7.6,15309,1219,11748,120
557,East South Central,KY,Hopkins,46640,9.6,17207,15745,319344,195
558,East South Central,KY,Jackson,12702,4.9,10393,1335,25805,106
559,East South Central,KY,Jefferson,672918,19.3,22372,352412,5872861,282
560,East South Central,KY,Jessamine,34218,19.1,15558,7871,204967,266
561,East South Central,KY,Johnson,24063,9.3,13171,4877,198275,195
562,East South Central,KY,Kenton,145474,17,19128,48884,831145,308
563,East South Central,KY,Knott,18414,8.2,11361,2235,52453,150
564,East South Central,KY,Knox,31371,8,11181,5721,157348,174
565,East South Central,KY,Larue,12641,8.1,15779,1538,37311,164
566,East South Central,KY,Laurel,48076,8.2,13739,14254,294926,201
567,East South Central,KY,Lawrence,15339,6.2,11643,2069,72862,173
568,East South Central,KY,Lee,7858,5.8,10524,1665,30171,125
569,East South Central,KY,Leslie,13616,6.6,12170,1385,42554,120
570,East South Central,KY,Letcher,26957,6.7,12487,4727,110706,149
571,East South Central,KY,Lewis,13365,6.7,10685,1717,34318,124
572,East South Central,KY,Lincoln,21485,6.2,12491,2016,61468,157
573,East South Central,KY,Livingston,9365,5.4,16476,1277,27510,172
574,East South Central,KY,Logan,25774,8.1,14525,7744,117520,189
575,East South Central,KY,Lyon,7752,9.1,12069,1394,43186,158
576,East South Central,KY,Madison,63112,19.1,15019,16318,430177,249
577,East South Central,KY,Magoffin,13743,4.6,10514,1503,44795,130
578,East South Central,KY,Marion,16755,6.4,14074,3915,71616,165
579,East South Central,KY,Marshall,29329,9.6,16535,7548,167340,185
580,East South Central,KY,Martin,12897,6,13697,2347,57938,179
581,East South Central,KY,Mason,17214,10.2,15606,7615,160384,171
582,East South Central,KY,McCracken,64577,14.3,19647,30773,739312,213
583,East South Central,KY,McCreary,16612,4.6,10165,1497,50206,143
584,East South Central,KY,McLean,9705,6.6,13971,1129,21131,140
585,East South Central,KY,Meade,27371,11,13154,2238,71735,329
586,East South Central,KY,Menifee,5387,4.9,10017,295,12447,124
587,East South Central,KY,Mercer,20045,8.9,16453,5149,93054,222
588,East South Central,KY,Metcalfe,9318,5,12430,2142,25907,126
589,East South Central,KY,Monroe,11677,6.9,14220,3280,58048,125
590,East South Central,KY,Montgomery,20582,9.2,14098,4831,163448,210
591,East South Central,KY,Morgan,13344,6.7,9957,1521,40771,147
592,East South Central,KY,Muhlenberg,31709,6.2,13462,6698,178123,180
593,East South Central,KY,Nelson,33422,9.3,15802,9899,183196,222
594,East South Central,KY,Nicholas,6999,6,13583,1313,16768,164
595,East South Central,KY,Ohio,21555,6.2,12673,4094,96056,174
596,East South Central,KY,Oldham,41011,22.9,25024,6180,153081,277
597,East South Central,KY,Owen,9589,7.4,13470,1210,35810,159
598,East South Central,KY,Owsley,5384,9.8,9644,262,10538,113
599,East South Central,KY,Pendleton,13461,6.8,13414,1517,36641,185
600,East South Central,KY,Perry,31286,6.7,14016,7544,245886,178
601,East South Central,KY,Pike,73710,7.7,14365,18213,539518,219
602,East South Central,KY,Powell,12211,5.3,11024,1878,46692,180
603,East South Central,KY,Pulaski,54570,9.2,14195,15797,406603,191
604,East South Central,KY,Robertson,2226,7.7,12676,102,3694,99
605,East South Central,KY,Rockcastle,15417,5.9,11796,2308,46601,120
606,East South Central,KY,Rowan,21541,17.3,11393,4959,161961,205
607,East South Central,KY,Russell,15856,6.2,13110,5332,90350,162
608,East South Central,KY,Scott,27813,15.2,18410,11691,188777,274
609,East South Central,KY,Shelby,27696,12.9,19107,9405,150766,239
610,East South Central,KY,Simpson,16084,8.8,15396,6512,135868,230
611,East South Central,KY,Spencer,8178,9.9,14951,669,16455,177
612,East South Central,KY,Taylor,22677,10.1,14794,10013,168722,197
613,East South Central,KY,Todd,11182,7.1,14614,2363,28640,148
614,East South Central,KY,Trigg,11497,11.4,14759,2175,40313,176
615,East South Central,KY,Trimble,6912,7.3,13885,755,13056,166
616,East South Central,KY,Union,16499,8.9,16822,6670,81590,186
617,East South Central,KY,Warren,84448,19.2,17476,34931,783382,265
618,East South Central,KY,Washington,10704,7.5,15596,2377,44824,158
619,East South Central,KY,Wayne,18411,5.5,11017,4079,79003,144
620,East South Central,KY,Webster,13469,6,16589,2921,60064,156
621,East South Central,KY,Whitley,35216,11.3,12513,11420,305014,191
622,East South Central,KY,Wolfe,7230,7.7,10965,795,26966,100
623,East South Central,KY,Woodford,21629,19.5,22285,6935,112624,305
624,East South Central,MS,Adams,34645,14.8,14876,12048,276427,174
625,East South Central,MS,Alcorn,32781,9.6,15002,11987,243576,157
626,East South Central,MS,Amite,13581,8.7,10607,1583,25221,125
627,East South Central,MS,Attala,18433,10,12568,4434,105201,128
628,East South Central,MS,Benton,7937,7.8,11324,797,0,122
629,East South Central,MS,Bolivar,41434,15.2,12741,10458,191811,160
630,East South Central,MS,Calhoun,14862,8.2,13326,3635,54558,145
631,East South Central,MS,Carroll,9900,10.3,11574,691,16872,124
632,East South Central,MS,Chickasaw,18355,9.5,13667,8458,101885,144
633,East South Central,MS,Choctaw,9123,10.8,10652,1208,22658,133
634,East South Central,MS,Claiborne,11567,16.1,11005,2575,33448,123
635,East South Central,MS,Clarke,17741,8.2,13011,3220,40712,142
636,East South Central,MS,Clay,21765,12.9,13740,7419,93517,171
637,East South Central,MS,Coahoma,31558,14.7,13880,7601,186866,145
638,East South Central,MS,Copiah,28639,9.4,11679,5297,107563,141
639,East South Central,MS,Covington,17239,8.6,12456,3288,66479,138
640,East South Central,MS,De Soto,83567,9.5,17300,20824,390609,311
641,East South Central,MS,Forrest,72553,19.8,14824,27904,657973,244
642,East South Central,MS,Franklin,8260,7.4,11567,1431,18690,102
643,East South Central,MS,George,18230,8.3,12504,2437,66152,178
644,East South Central,MS,Greene,11476,6,10593,845,22163,142
645,East South Central,MS,Grenada,22211,10.8,14166,8713,185141,174
646,East South Central,MS,Hancock,37814,14.3,14080,8083,149893,254
647,East South Central,MS,Harrison,175240,16.3,15869,53001,1177298,280
648,East South Central,MS,Hinds,251031,26.4,18550,121569,2219983,292
649,East South Central,MS,Holmes,21325,9.7,10454,3052,70515,99
650,East South Central,MS,Humphreys,11533,10.4,13463,3104,42995,126
651,East South Central,MS,Issaquena,1676,5.6,13392,75,0,99
652,East South Central,MS,Itawamba,20902,6.7,14149,4893,66632,151
653,East South Central,MS,Jackson,128494,14.4,16510,41529,643747,272
654,East South Central,MS,Jasper,17433,9.8,12262,2868,52575,121
655,East South Central,MS,Jefferson,8549,10.3,9686,524,13452,99
656,East South Central,MS,Jefferson Davis,14073,8.9,10733,1647,40593,136
657,East South Central,MS,Jones,63001,12.2,15146,17692,360854,177
658,East South Central,MS,Kemper,10429,7.9,12173,1166,21399,99
659,East South Central,MS,Lafayette,33463,29.2,13919,8672,189721,272
660,East South Central,MS,Lamar,33642,20.9,14450,4203,80573,254
661,East South Central,MS,Lauderdale,76910,13.3,16806,28267,634542,222
662,East South Central,MS,Lawrence,12780,9.2,12341,2436,36916,141
663,East South Central,MS,Leake,19056,9.2,13499,3892,100653,130
664,East South Central,MS,Lee,72272,15,17817,40252,702535,242
665,East South Central,MS,Leflore,37410,15.7,14762,12186,239519,141
666,East South Central,MS,Lincoln,31417,11.6,13275,8839,216390,175
667,East South Central,MS,Lowndes,60823,18.6,15602,23770,436264,236
668,East South Central,MS,Madison,66282,29.3,16127,16509,523220,355
669,East South Central,MS,Marion,26258,8.4,12073,5451,138948,163
670,East South Central,MS,Marshall,32078,9.4,12398,5334,96104,145
671,East South Central,MS,Monroe,37771,8.4,13240,12046,172610,156
672,East South Central,MS,Montgomery,12428,9.5,12517,3054,53524,131
673,East South Central,MS,Neshoba,26747,10.1,13845,8531,139660,130
674,East South Central,MS,Newton,21256,9.7,13855,4389,88563,133
675,East South Central,MS,Noxubee,12407,7.9,11276,2145,42330,99
676,East South Central,MS,Oktibbeha,38653,31.7,13165,8395,197361,255
677,East South Central,MS,Panola,32407,8.7,12355,8629,171121,147
678,East South Central,MS,Pearl River,43466,11.4,12163,5621,188165,204
